이 메시지는 콘솔과 파일에 동시에 기록됩니다.
이 메시지도 로그에 기록됩니다.
torch.Size([1, 8, 256, 256])
Warning: PPO model not found at ./ppo_MlpPolicy_models/ppo_MlpPolicy_latest.zip. Starting training from scratch.
Starting training from scratch.
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
[40;93m[Episode Start] Currently using dataset file: ('/nfs/dataset/DIV2K/DIV2K_train_HR/DIV2K_train_HR/0603.png',), Episode count: 1[0m
[92mInitial PSNR: 23.690453[0m
Initial MSE: 0.003724[0m
Logging to ./ppo_MultiInputPolicy/PPO_33
Step: 1      | Time action: 1736857531.226758 seconds
Step: 1      | Time simulate: 0.003891 seconds
Step: 1      | Time obs: 0.000001 seconds
Step: 1      | Time reward: 0.000001 seconds
Step: 1      | Time print: 0.000001 seconds
Step: 1      | Time diff: 0.000001 seconds
Step: 1      | Time max_steps: 0.000001 seconds
Step: 1      | Time terminated: 0.000001 seconds
Step: 2      | Time action: 0.005238 seconds
Step: 2      | Time simulate: 0.001891 seconds
Step: 2      | Time obs: 0.000000 seconds
Step: 2      | Time reward: 0.000001 seconds
Step: 2      | Time rollback: 0.000333 seconds
Step: 3      | Time action: 0.003597 seconds
Step: 3      | Time simulate: 0.002181 seconds
Step: 3      | Time obs: 0.000001 seconds
Step: 3      | Time reward: 0.000000 seconds
Step: 3      | Time rollback: 0.000012 seconds
Step: 4      | Time action: 0.003504 seconds
Step: 4      | Time simulate: 0.002139 seconds
Step: 4      | Time obs: 0.000000 seconds
Step: 4      | Time reward: 0.000001 seconds
Step: 4      | Time rollback: 0.000302 seconds
Step: 5      | Time action: 0.003291 seconds
Step: 5      | Time simulate: 0.002413 seconds
Step: 5      | Time obs: 0.000000 seconds
Step: 5      | Time reward: 0.000001 seconds
Step: 5      | Time rollback: 0.000014 seconds
Step: 6      | Time action: 0.002771 seconds
Step: 6      | Time simulate: 0.001804 seconds
Step: 6      | Time obs: 0.000000 seconds
Step: 6      | Time reward: 0.000000 seconds
Step: 6      | Time rollback: 0.000012 seconds
Step: 7      | Time action: 0.002752 seconds
Step: 7      | Time simulate: 0.003937 seconds
Step: 7      | Time obs: 0.000001 seconds
Step: 7      | Time reward: 0.000000 seconds
Step: 7      | Time print: 0.000000 seconds
Step: 7      | Time diff: 0.000001 seconds
Step: 7      | Time max_steps: 0.000000 seconds
Step: 7      | Time terminated: 0.000001 seconds
Step: 8      | Time action: 0.002816 seconds
Step: 8      | Time simulate: 0.001865 seconds
Step: 8      | Time obs: 0.000000 seconds
Step: 8      | Time reward: 0.000000 seconds
Step: 8      | Time rollback: 0.000012 seconds
Step: 9      | Time action: 0.002730 seconds
Step: 9      | Time simulate: 0.001854 seconds
Step: 9      | Time obs: 0.000000 seconds
Step: 9      | Time reward: 0.000000 seconds
Step: 9      | Time print: 0.000000 seconds
Step: 9      | Time diff: 0.000001 seconds
Step: 9      | Time max_steps: 0.000001 seconds
Step: 9      | Time terminated: 0.000000 seconds
Step: 10     | Time action: 0.002757 seconds
Step: 10     | Time simulate: 0.001825 seconds
Step: 10     | Time obs: 0.000000 seconds
Step: 10     | Time reward: 0.000000 seconds
Step: 10     | Time print: 0.000000 seconds
Step: 10     | Time diff: 0.000001 seconds
Step: 10     | Time max_steps: 0.000000 seconds
Step: 10     | Time terminated: 0.000001 seconds
Step: 11     | Time action: 0.002745 seconds
Step: 11     | Time simulate: 0.001861 seconds
Step: 11     | Time obs: 0.000000 seconds
Step: 11     | Time reward: 0.000000 seconds
Step: 11     | Time print: 0.000000 seconds
Step: 11     | Time diff: 0.000001 seconds
Step: 11     | Time max_steps: 0.000000 seconds
Step: 11     | Time terminated: 0.000000 seconds
Step: 12     | Time action: 0.002908 seconds
Step: 12     | Time simulate: 0.001865 seconds
Step: 12     | Time obs: 0.000000 seconds
Step: 12     | Time reward: 0.000000 seconds
Step: 12     | Time rollback: 0.000012 seconds
Step: 13     | Time action: 0.002708 seconds
Step: 13     | Time simulate: 0.001846 seconds
Step: 13     | Time obs: 0.000000 seconds
Step: 13     | Time reward: 0.000001 seconds
Step: 13     | Time rollback: 0.000012 seconds
Step: 14     | Time action: 0.002756 seconds
Step: 14     | Time simulate: 0.001857 seconds
Step: 14     | Time obs: 0.000001 seconds
Step: 14     | Time reward: 0.000000 seconds
Step: 14     | Time rollback: 0.000012 seconds
Step: 15     | Time action: 0.002689 seconds
Step: 15     | Time simulate: 0.001871 seconds
Step: 15     | Time obs: 0.000001 seconds
Step: 15     | Time reward: 0.000000 seconds
Step: 15     | Time rollback: 0.000012 seconds
Step: 16     | Time action: 0.002753 seconds
Step: 16     | Time simulate: 0.001833 seconds
Step: 16     | Time obs: 0.000000 seconds
Step: 16     | Time reward: 0.000000 seconds
Step: 16     | Time rollback: 0.000012 seconds
Step: 17     | Time action: 0.002714 seconds
Step: 17     | Time simulate: 0.001856 seconds
Step: 17     | Time obs: 0.000001 seconds
Step: 17     | Time reward: 0.000001 seconds
Step: 17     | Time print: 0.000000 seconds
Step: 17     | Time diff: 0.000001 seconds
Step: 17     | Time max_steps: 0.000000 seconds
Step: 17     | Time terminated: 0.000001 seconds
Step: 18     | Time action: 0.002758 seconds
Step: 18     | Time simulate: 0.001821 seconds
Step: 18     | Time obs: 0.000000 seconds
Step: 18     | Time reward: 0.000001 seconds
Step: 18     | Time rollback: 0.000012 seconds
Step: 19     | Time action: 0.002711 seconds
Step: 19     | Time simulate: 0.001823 seconds
Step: 19     | Time obs: 0.000000 seconds
Step: 19     | Time reward: 0.000001 seconds
Step: 19     | Time rollback: 0.000013 seconds
Step: 20     | Time action: 0.002734 seconds
Step: 20     | Time simulate: 0.001839 seconds
Step: 20     | Time obs: 0.000000 seconds
Step: 20     | Time reward: 0.000001 seconds
Step: 20     | Time rollback: 0.000012 seconds
Step: 21     | Time action: 0.002701 seconds
Step: 21     | Time simulate: 0.001874 seconds
Step: 21     | Time obs: 0.000000 seconds
Step: 21     | Time reward: 0.000001 seconds
Step: 21     | Time print: 0.000000 seconds
Step: 21     | Time diff: 0.000001 seconds
Step: 21     | Time max_steps: 0.000001 seconds
Step: 21     | Time terminated: 0.000001 seconds
Step: 22     | Time action: 0.002725 seconds
Step: 22     | Time simulate: 0.001900 seconds
Step: 22     | Time obs: 0.000000 seconds
Step: 22     | Time reward: 0.000001 seconds
Step: 22     | Time rollback: 0.000012 seconds
Step: 23     | Time action: 0.002704 seconds
Step: 23     | Time simulate: 0.001813 seconds
Step: 23     | Time obs: 0.000001 seconds
Step: 23     | Time reward: 0.000000 seconds
Step: 23     | Time rollback: 0.000012 seconds
Step: 24     | Time action: 0.003280 seconds
Step: 24     | Time simulate: 0.001903 seconds
Step: 24     | Time obs: 0.000000 seconds
Step: 24     | Time reward: 0.000000 seconds
Step: 24     | Time rollback: 0.000012 seconds
Step: 25     | Time action: 0.002769 seconds
Step: 25     | Time simulate: 0.001866 seconds
Step: 25     | Time obs: 0.000000 seconds
Step: 25     | Time reward: 0.000000 seconds
Step: 25     | Time rollback: 0.000012 seconds
Step: 26     | Time action: 0.002754 seconds
Step: 26     | Time simulate: 0.001813 seconds
Step: 26     | Time obs: 0.000000 seconds
Step: 26     | Time reward: 0.000000 seconds
Step: 26     | Time rollback: 0.000014 seconds
Step: 27     | Time action: 0.002729 seconds
Step: 27     | Time simulate: 0.001896 seconds
Step: 27     | Time obs: 0.000000 seconds
Step: 27     | Time reward: 0.000001 seconds
Step: 27     | Time rollback: 0.000012 seconds
Step: 28     | Time action: 0.002756 seconds
Step: 28     | Time simulate: 0.002029 seconds
Step: 28     | Time obs: 0.000000 seconds
Step: 28     | Time reward: 0.000000 seconds
Step: 28     | Time rollback: 0.000012 seconds
Step: 29     | Time action: 0.002725 seconds
Step: 29     | Time simulate: 0.001868 seconds
Step: 29     | Time obs: 0.000001 seconds
Step: 29     | Time reward: 0.000001 seconds
Step: 29     | Time rollback: 0.000012 seconds
Step: 30     | Time action: 0.002699 seconds
Step: 30     | Time simulate: 0.001856 seconds
Step: 30     | Time obs: 0.000000 seconds
Step: 30     | Time reward: 0.000001 seconds
Step: 30     | Time rollback: 0.000012 seconds
Step: 31     | Time action: 0.002741 seconds
Step: 31     | Time simulate: 0.002013 seconds
Step: 31     | Time obs: 0.000000 seconds
Step: 31     | Time reward: 0.000001 seconds
Step: 31     | Time rollback: 0.000012 seconds
Step: 32     | Time action: 0.002786 seconds
Step: 32     | Time simulate: 0.001869 seconds
Step: 32     | Time obs: 0.000000 seconds
Step: 32     | Time reward: 0.000001 seconds
Step: 32     | Time rollback: 0.000012 seconds
Step: 33     | Time action: 0.002765 seconds
Step: 33     | Time simulate: 0.001936 seconds
Step: 33     | Time obs: 0.000001 seconds
Step: 33     | Time reward: 0.000000 seconds
Step: 33     | Time print: 0.000000 seconds
Step: 33     | Time diff: 0.000001 seconds
Step: 33     | Time max_steps: 0.000001 seconds
Step: 33     | Time terminated: 0.000001 seconds
Step: 34     | Time action: 0.002786 seconds
Step: 34     | Time simulate: 0.001884 seconds
Step: 34     | Time obs: 0.000000 seconds
Step: 34     | Time reward: 0.000001 seconds
Step: 34     | Time rollback: 0.000012 seconds
Step: 35     | Time action: 0.002732 seconds
Step: 35     | Time simulate: 0.001758 seconds
Step: 35     | Time obs: 0.000001 seconds
Step: 35     | Time reward: 0.000001 seconds
Step: 35     | Time rollback: 0.000012 seconds
Step: 36     | Time action: 0.003152 seconds
Step: 36     | Time simulate: 0.001840 seconds
Step: 36     | Time obs: 0.000000 seconds
Step: 36     | Time reward: 0.000001 seconds
Step: 36     | Time rollback: 0.000037 seconds
Step: 37     | Time action: 0.002734 seconds
Step: 37     | Time simulate: 0.001776 seconds
Step: 37     | Time obs: 0.000000 seconds
Step: 37     | Time reward: 0.000000 seconds
Step: 37     | Time print: 0.000000 seconds
Step: 37     | Time diff: 0.000001 seconds
Step: 37     | Time max_steps: 0.000001 seconds
Step: 37     | Time terminated: 0.000001 seconds
Step: 38     | Time action: 0.002792 seconds
Step: 38     | Time simulate: 0.001893 seconds
Step: 38     | Time obs: 0.000000 seconds
Step: 38     | Time reward: 0.000000 seconds
Step: 38     | Time rollback: 0.000012 seconds
Step: 39     | Time action: 0.002757 seconds
Step: 39     | Time simulate: 0.001886 seconds
Step: 39     | Time obs: 0.000000 seconds
Step: 39     | Time reward: 0.000000 seconds
Step: 39     | Time print: 0.000000 seconds
Step: 39     | Time diff: 0.000001 seconds
Step: 39     | Time max_steps: 0.000000 seconds
Step: 39     | Time terminated: 0.000000 seconds
Step: 40     | Time action: 0.002726 seconds
Step: 40     | Time simulate: 0.001815 seconds
Step: 40     | Time obs: 0.000001 seconds
Step: 40     | Time reward: 0.000000 seconds
Step: 40     | Time print: 0.000000 seconds
Step: 40     | Time diff: 0.000001 seconds
Step: 40     | Time max_steps: 0.000001 seconds
Step: 40     | Time terminated: 0.000001 seconds
Step: 41     | Time action: 0.002701 seconds
Step: 41     | Time simulate: 0.001805 seconds
Step: 41     | Time obs: 0.000000 seconds
Step: 41     | Time reward: 0.000000 seconds
Step: 41     | Time rollback: 0.000012 seconds
Step: 42     | Time action: 0.002707 seconds
Step: 42     | Time simulate: 0.001817 seconds
Step: 42     | Time obs: 0.000001 seconds
Step: 42     | Time reward: 0.000000 seconds
Step: 42     | Time rollback: 0.000012 seconds
Step: 43     | Time action: 0.002691 seconds
Step: 43     | Time simulate: 0.001810 seconds
Step: 43     | Time obs: 0.000000 seconds
Step: 43     | Time reward: 0.000000 seconds
Step: 43     | Time rollback: 0.000012 seconds
Step: 44     | Time action: 0.002713 seconds
Step: 44     | Time simulate: 0.001804 seconds
Step: 44     | Time obs: 0.000000 seconds
Step: 44     | Time reward: 0.000001 seconds
Step: 44     | Time rollback: 0.000012 seconds
Step: 45     | Time action: 0.002763 seconds
Step: 45     | Time simulate: 0.001941 seconds
Step: 45     | Time obs: 0.000000 seconds
Step: 45     | Time reward: 0.000001 seconds
Step: 45     | Time rollback: 0.000012 seconds
Step: 46     | Time action: 0.002773 seconds
Step: 46     | Time simulate: 0.001880 seconds
Step: 46     | Time obs: 0.000000 seconds
Step: 46     | Time reward: 0.000001 seconds
Step: 46     | Time rollback: 0.000012 seconds
Step: 47     | Time action: 0.002758 seconds
Step: 47     | Time simulate: 0.001890 seconds
Step: 47     | Time obs: 0.000001 seconds
Step: 47     | Time reward: 0.000001 seconds
Step: 47     | Time rollback: 0.000012 seconds
Step: 48     | Time action: 0.002759 seconds
Step: 48     | Time simulate: 0.001893 seconds
Step: 48     | Time obs: 0.000000 seconds
Step: 48     | Time reward: 0.000001 seconds
Step: 48     | Time print: 0.000001 seconds
Step: 48     | Time diff: 0.000001 seconds
Step: 48     | Time max_steps: 0.000000 seconds
Step: 48     | Time terminated: 0.000000 seconds
Step: 49     | Time action: 0.002801 seconds
Step: 49     | Time simulate: 0.001835 seconds
Step: 49     | Time obs: 0.000000 seconds
Step: 49     | Time reward: 0.000000 seconds
Step: 49     | Time rollback: 0.000012 seconds
Step: 50     | Time action: 0.002774 seconds
Step: 50     | Time simulate: 0.001810 seconds
Step: 50     | Time obs: 0.000000 seconds
Step: 50     | Time reward: 0.000000 seconds
Step: 50     | Time rollback: 0.000012 seconds
Step: 51     | Time action: 0.002705 seconds
Step: 51     | Time simulate: 0.001814 seconds
Step: 51     | Time obs: 0.000001 seconds
Step: 51     | Time reward: 0.000001 seconds
Step: 51     | Time print: 0.000000 seconds
Step: 51     | Time diff: 0.000001 seconds
Step: 51     | Time max_steps: 0.000001 seconds
Step: 51     | Time terminated: 0.000001 seconds
Step: 52     | Time action: 0.002767 seconds
Step: 52     | Time simulate: 0.001859 seconds
Step: 52     | Time obs: 0.000001 seconds
Step: 52     | Time reward: 0.000000 seconds
Step: 52     | Time rollback: 0.000012 seconds
Step: 53     | Time action: 0.002730 seconds
Step: 53     | Time simulate: 0.001891 seconds
Step: 53     | Time obs: 0.000000 seconds
Step: 53     | Time reward: 0.000000 seconds
Step: 53     | Time rollback: 0.000012 seconds
Step: 54     | Time action: 0.002761 seconds
Step: 54     | Time simulate: 0.001859 seconds
Step: 54     | Time obs: 0.000000 seconds
Step: 54     | Time reward: 0.000000 seconds
Step: 54     | Time rollback: 0.000012 seconds
Step: 55     | Time action: 0.002741 seconds
Step: 55     | Time simulate: 0.002023 seconds
Step: 55     | Time obs: 0.000000 seconds
Step: 55     | Time reward: 0.000000 seconds
Step: 55     | Time rollback: 0.000012 seconds
