이 메시지는 콘솔과 파일에 동시에 기록됩니다.
이 메시지도 로그에 기록됩니다.
torch.Size([1, 8, 256, 256])
Warning: PPO model not found at ./ppo_MlpPolicy_models/ppo_MlpPolicy_latest.zip. Starting training from scratch.
Starting training from scratch.
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
[40;93m[Episode Start] Currently using dataset file: ('/nfs/dataset/DIV2K/DIV2K_train_HR/DIV2K_train_HR/0434.png',), Episode count: 1[0m
[92mInitial PSNR: 25.616428[0m
Initial MSE: 0.002744[0m
Logging to ./ppo_MultiInputPolicy/PPO_31
Step: 1      | Time action: 1736857165.353975 seconds
Step: 1      | Time simulate: 0.002641 seconds
Step: 1      | Time obs: 0.000000 seconds
Step: 1      | Time reward: 0.000002 seconds
Step: 1      | Time rollback: 0.000016 seconds
Step: 2      | Time action: 0.003356 seconds
Step: 2      | Time simulate: 0.002678 seconds
Step: 2      | Time obs: 0.000000 seconds
Step: 2      | Time reward: 0.000001 seconds
Step: 2      | Time rollback: 0.000012 seconds
Step: 3      | Time action: 0.002413 seconds
Step: 3      | Time simulate: 0.001745 seconds
Step: 3      | Time obs: 0.000000 seconds
Step: 3      | Time reward: 0.000001 seconds
Step: 3      | Time rollback: 0.000012 seconds
Step: 4      | Time action: 0.002586 seconds
Step: 4      | Time simulate: 0.004426 seconds
Step: 4      | Time obs: 0.000000 seconds
Step: 4      | Time reward: 0.000001 seconds
Step: 4      | Time rollback: 0.000012 seconds
Step: 5      | Time action: 0.002649 seconds
Step: 5      | Time simulate: 0.004046 seconds
Step: 5      | Time obs: 0.000000 seconds
Step: 5      | Time reward: 0.000001 seconds
Step: 5      | Time print: 0.000001 seconds
Step: 5      | Time diff: 0.000001 seconds
Step: 5      | Time max_steps: 0.000001 seconds
Step: 5      | Time terminated: 0.000001 seconds
Step: 6      | Time action: 0.002113 seconds
Step: 6      | Time simulate: 0.002240 seconds
Step: 6      | Time obs: 0.000000 seconds
Step: 6      | Time reward: 0.000001 seconds
Step: 6      | Time rollback: 0.000053 seconds
Step: 7      | Time action: 0.002632 seconds
Step: 7      | Time simulate: 0.001605 seconds
Step: 7      | Time obs: 0.000000 seconds
Step: 7      | Time reward: 0.000000 seconds
Step: 7      | Time rollback: 0.000012 seconds
Step: 8      | Time action: 0.002156 seconds
Step: 8      | Time simulate: 0.003190 seconds
Step: 8      | Time obs: 0.000000 seconds
Step: 8      | Time reward: 0.000000 seconds
Step: 8      | Time rollback: 0.000012 seconds
Step: 9      | Time action: 0.002103 seconds
Step: 9      | Time simulate: 0.001806 seconds
Step: 9      | Time obs: 0.000000 seconds
Step: 9      | Time reward: 0.000000 seconds
Step: 9      | Time rollback: 0.000012 seconds
Step: 10     | Time action: 0.002102 seconds
Step: 10     | Time simulate: 0.001798 seconds
Step: 10     | Time obs: 0.000000 seconds
Step: 10     | Time reward: 0.000001 seconds
Step: 10     | Time rollback: 0.000011 seconds
Step: 11     | Time action: 0.002107 seconds
Step: 11     | Time simulate: 0.001784 seconds
Step: 11     | Time obs: 0.000001 seconds
Step: 11     | Time reward: 0.000001 seconds
Step: 11     | Time print: 0.000000 seconds
Step: 11     | Time diff: 0.000001 seconds
Step: 11     | Time max_steps: 0.000000 seconds
Step: 11     | Time terminated: 0.000001 seconds
Step: 12     | Time action: 0.002097 seconds
Step: 12     | Time simulate: 0.001837 seconds
Step: 12     | Time obs: 0.000001 seconds
Step: 12     | Time reward: 0.000000 seconds
Step: 12     | Time rollback: 0.000012 seconds
Step: 13     | Time action: 0.002336 seconds
Step: 13     | Time simulate: 0.001785 seconds
Step: 13     | Time obs: 0.000000 seconds
Step: 13     | Time reward: 0.000001 seconds
Step: 13     | Time rollback: 0.000012 seconds
Step: 14     | Time action: 0.002105 seconds
Step: 14     | Time simulate: 0.001932 seconds
Step: 14     | Time obs: 0.000000 seconds
Step: 14     | Time reward: 0.000000 seconds
Step: 14     | Time print: 0.000000 seconds
Step: 14     | Time diff: 0.000001 seconds
Step: 14     | Time max_steps: 0.000000 seconds
Step: 14     | Time terminated: 0.000001 seconds
Step: 15     | Time action: 0.002122 seconds
Step: 15     | Time simulate: 0.001781 seconds
Step: 15     | Time obs: 0.000000 seconds
Step: 15     | Time reward: 0.000000 seconds
Step: 15     | Time rollback: 0.000012 seconds
Step: 16     | Time action: 0.002101 seconds
Step: 16     | Time simulate: 0.001785 seconds
Step: 16     | Time obs: 0.000000 seconds
Step: 16     | Time reward: 0.000000 seconds
Step: 16     | Time rollback: 0.000012 seconds
Step: 17     | Time action: 0.002109 seconds
Step: 17     | Time simulate: 0.001771 seconds
Step: 17     | Time obs: 0.000000 seconds
Step: 17     | Time reward: 0.000000 seconds
Step: 17     | Time rollback: 0.000012 seconds
Step: 18     | Time action: 0.002102 seconds
Step: 18     | Time simulate: 0.004447 seconds
Step: 18     | Time obs: 0.000000 seconds
Step: 18     | Time reward: 0.000000 seconds
Step: 18     | Time rollback: 0.000012 seconds
Step: 19     | Time action: 0.002111 seconds
Step: 19     | Time simulate: 0.001755 seconds
Step: 19     | Time obs: 0.000000 seconds
Step: 19     | Time reward: 0.000000 seconds
Step: 19     | Time rollback: 0.000011 seconds
Step: 20     | Time action: 0.002104 seconds
Step: 20     | Time simulate: 0.001838 seconds
Step: 20     | Time obs: 0.000000 seconds
Step: 20     | Time reward: 0.000000 seconds
Step: 20     | Time rollback: 0.000012 seconds
Step: 21     | Time action: 0.002101 seconds
Step: 21     | Time simulate: 0.001772 seconds
Step: 21     | Time obs: 0.000000 seconds
Step: 21     | Time reward: 0.000001 seconds
Step: 21     | Time rollback: 0.000011 seconds
Step: 22     | Time action: 0.002106 seconds
Step: 22     | Time simulate: 0.001778 seconds
Step: 22     | Time obs: 0.000001 seconds
Step: 22     | Time reward: 0.000001 seconds
Step: 22     | Time print: 0.000000 seconds
Step: 22     | Time diff: 0.000001 seconds
Step: 22     | Time max_steps: 0.000000 seconds
Step: 22     | Time terminated: 0.000001 seconds
Step: 23     | Time action: 0.002095 seconds
Step: 23     | Time simulate: 0.001820 seconds
Step: 23     | Time obs: 0.000000 seconds
Step: 23     | Time reward: 0.000000 seconds
Step: 23     | Time print: 0.000000 seconds
Step: 23     | Time diff: 0.000001 seconds
Step: 23     | Time max_steps: 0.000000 seconds
Step: 23     | Time terminated: 0.000000 seconds
Step: 24     | Time action: 0.002105 seconds
Step: 24     | Time simulate: 0.001864 seconds
Step: 24     | Time obs: 0.000000 seconds
Step: 24     | Time reward: 0.000001 seconds
Step: 24     | Time rollback: 0.000012 seconds
Step: 25     | Time action: 0.002175 seconds
Step: 25     | Time simulate: 0.001982 seconds
Step: 25     | Time obs: 0.000000 seconds
Step: 25     | Time reward: 0.000000 seconds
Step: 25     | Time rollback: 0.000012 seconds
Step: 26     | Time action: 0.002201 seconds
Step: 26     | Time simulate: 0.001800 seconds
Step: 26     | Time obs: 0.000000 seconds
Step: 26     | Time reward: 0.000001 seconds
Step: 26     | Time print: 0.000001 seconds
Step: 26     | Time diff: 0.000001 seconds
Step: 26     | Time max_steps: 0.000000 seconds
Step: 26     | Time terminated: 0.000000 seconds
Step: 27     | Time action: 0.002100 seconds
Step: 27     | Time simulate: 0.001840 seconds
Step: 27     | Time obs: 0.000000 seconds
Step: 27     | Time reward: 0.000001 seconds
Step: 27     | Time print: 0.000000 seconds
Step: 27     | Time diff: 0.000001 seconds
Step: 27     | Time max_steps: 0.000000 seconds
Step: 27     | Time terminated: 0.000001 seconds
Step: 28     | Time action: 0.002110 seconds
Step: 28     | Time simulate: 0.001788 seconds
Step: 28     | Time obs: 0.000000 seconds
Step: 28     | Time reward: 0.000000 seconds
Step: 28     | Time rollback: 0.000011 seconds
Step: 29     | Time action: 0.002179 seconds
Step: 29     | Time simulate: 0.001765 seconds
Step: 29     | Time obs: 0.000000 seconds
Step: 29     | Time reward: 0.000000 seconds
Step: 29     | Time print: 0.000000 seconds
Step: 29     | Time diff: 0.000001 seconds
Step: 29     | Time max_steps: 0.000000 seconds
Step: 29     | Time terminated: 0.000001 seconds
Step: 30     | Time action: 0.002140 seconds
Step: 30     | Time simulate: 0.001874 seconds
Step: 30     | Time obs: 0.000000 seconds
Step: 30     | Time reward: 0.000000 seconds
Step: 30     | Time print: 0.000000 seconds
Step: 30     | Time diff: 0.000001 seconds
Step: 30     | Time max_steps: 0.000001 seconds
Step: 30     | Time terminated: 0.000000 seconds
Step: 31     | Time action: 0.002188 seconds
Step: 31     | Time simulate: 0.001833 seconds
Step: 31     | Time obs: 0.000000 seconds
Step: 31     | Time reward: 0.000000 seconds
Step: 31     | Time print: 0.000000 seconds
Step: 31     | Time diff: 0.000001 seconds
Step: 31     | Time max_steps: 0.000000 seconds
Step: 31     | Time terminated: 0.000000 seconds
Step: 32     | Time action: 0.002174 seconds
Step: 32     | Time simulate: 0.001850 seconds
Step: 32     | Time obs: 0.000000 seconds
Step: 32     | Time reward: 0.000001 seconds
Step: 32     | Time print: 0.000000 seconds
Step: 32     | Time diff: 0.000001 seconds
Step: 32     | Time max_steps: 0.000001 seconds
Step: 32     | Time terminated: 0.000000 seconds
Step: 33     | Time action: 0.002177 seconds
Step: 33     | Time simulate: 0.001776 seconds
Step: 33     | Time obs: 0.000000 seconds
Step: 33     | Time reward: 0.000000 seconds
Step: 33     | Time rollback: 0.000012 seconds
Step: 34     | Time action: 0.002181 seconds
Step: 34     | Time simulate: 0.001773 seconds
Step: 34     | Time obs: 0.000000 seconds
Step: 34     | Time reward: 0.000000 seconds
Step: 34     | Time print: 0.000000 seconds
Step: 34     | Time diff: 0.000000 seconds
Step: 34     | Time max_steps: 0.000000 seconds
Step: 34     | Time terminated: 0.000001 seconds
Step: 35     | Time action: 0.002174 seconds
Step: 35     | Time simulate: 0.001765 seconds
Step: 35     | Time obs: 0.000000 seconds
Step: 35     | Time reward: 0.000001 seconds
Step: 35     | Time rollback: 0.000012 seconds
Step: 36     | Time action: 0.002191 seconds
Step: 36     | Time simulate: 0.001797 seconds
Step: 36     | Time obs: 0.000000 seconds
Step: 36     | Time reward: 0.000000 seconds
Step: 36     | Time rollback: 0.000012 seconds
Step: 37     | Time action: 0.002257 seconds
Step: 37     | Time simulate: 0.001812 seconds
Step: 37     | Time obs: 0.000000 seconds
Step: 37     | Time reward: 0.000000 seconds
Step: 37     | Time rollback: 0.000012 seconds
Step: 38     | Time action: 0.002193 seconds
Step: 38     | Time simulate: 0.001825 seconds
Step: 38     | Time obs: 0.000001 seconds
Step: 38     | Time reward: 0.000001 seconds
Step: 38     | Time rollback: 0.000011 seconds
Step: 39     | Time action: 0.002188 seconds
Step: 39     | Time simulate: 0.001762 seconds
Step: 39     | Time obs: 0.000000 seconds
Step: 39     | Time reward: 0.000000 seconds
Step: 39     | Time rollback: 0.000011 seconds
Step: 40     | Time action: 0.002180 seconds
Step: 40     | Time simulate: 0.001820 seconds
