이 메시지는 콘솔과 파일에 동시에 기록됩니다.
이 메시지도 로그에 기록됩니다.
torch.Size([1, 8, 256, 256])
Warning: DQN model not found at ./dqn_multi_input_models/dqn_latest.zip. Starting training from scratch.
Starting training from scratch.
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
[40;93m[Episode Start] Currently using dataset file: ('dataset1/0001.png',), Episode count: 1[0m
[92mInitial PSNR: 25.004539[0m
Initial MSE: 0.002122[0m
Logging to ./dqn_tensorboard_multi_input/DQN_7
Step: 1      | Time action: 1737527621.331676 seconds
Step: 1      | Time simulate: 0.003113 seconds
Step: 1      | Time obs: 0.000116 seconds
Step: 1      | Time reward: 0.000001 seconds
Step: 1      | Time rollback: 0.000010 seconds
Step: 2      | Time action: 0.006189 seconds
Step: 2      | Time simulate: 0.001915 seconds
Step: 2      | Time obs: 0.000125 seconds
Step: 2      | Time reward: 0.000001 seconds
Step: 2      | Time rollback: 0.000010 seconds
Step: 3      | Time action: 0.003925 seconds
Step: 3      | Time simulate: 0.001691 seconds
Step: 3      | Time obs: 0.000348 seconds
Step: 3      | Time reward: 0.000001 seconds
Step: 3      | Time rollback: 0.000010 seconds
Step: 4      | Time action: 0.003776 seconds
Step: 4      | Time simulate: 0.001557 seconds
Step: 4      | Time obs: 0.000110 seconds
Step: 4      | Time reward: 0.000001 seconds
Step: 4      | Time rollback: 0.000014 seconds
Step: 5      | Time action: 0.394144 seconds
Step: 5      | Time simulate: 0.005199 seconds
Step: 5      | Time obs: 0.000134 seconds
Step: 5      | Time reward: 0.000003 seconds
Step: 5      | Time rollback: 0.000018 seconds
Step: 6      | Time action: 0.005422 seconds
Step: 6      | Time simulate: 0.005383 seconds
Step: 6      | Time obs: 0.000192 seconds
Step: 6      | Time reward: 0.000002 seconds
Step: 6      | Time rollback: 0.000014 seconds
Step: 7      | Time action: 0.003940 seconds
Step: 7      | Time simulate: 0.002017 seconds
Step: 7      | Time obs: 0.000236 seconds
Step: 7      | Time reward: 0.000001 seconds
Step: 7      | Time rollback: 0.000011 seconds
Step: 8      | Time action: 0.003986 seconds
Step: 8      | Time simulate: 0.002033 seconds
Step: 8      | Time obs: 0.000222 seconds
Step: 8      | Time reward: 0.000001 seconds
Step: 8      | Time rollback: 0.000010 seconds
Step: 9      | Time action: 0.202061 seconds
Step: 9      | Time simulate: 0.014763 seconds
Step: 9      | Time obs: 0.000200 seconds
Step: 9      | Time reward: 0.000002 seconds
Step: 9      | Time rollback: 0.000021 seconds
Step: 10     | Time action: 0.004612 seconds
Step: 10     | Time simulate: 0.002145 seconds
Step: 10     | Time obs: 0.000181 seconds
Step: 10     | Time reward: 0.000001 seconds
Step: 10     | Time print: 0.000001 seconds
Step: 10     | Time diff: 0.000001 seconds
Step: 10     | Time max_steps: 0.000001 seconds
Step: 10     | Time terminated: 0.000001 seconds
Step: 11     | Time action: 0.004874 seconds
Step: 11     | Time simulate: 0.001985 seconds
Step: 11     | Time obs: 0.000198 seconds
Step: 11     | Time reward: 0.000004 seconds
Step: 11     | Time print: 0.000001 seconds
Step: 11     | Time diff: 0.000002 seconds
Step: 11     | Time max_steps: 0.000001 seconds
Step: 11     | Time terminated: 0.000001 seconds
Step: 12     | Time action: 0.003910 seconds
Step: 12     | Time simulate: 0.001776 seconds
Step: 12     | Time obs: 0.000279 seconds
Step: 12     | Time reward: 0.000001 seconds
Step: 12     | Time rollback: 0.000012 seconds
Step: 13     | Time action: 0.130628 seconds
Step: 13     | Time simulate: 0.014806 seconds
Step: 13     | Time obs: 0.000165 seconds
Step: 13     | Time reward: 0.000002 seconds
Step: 13     | Time print: 0.000001 seconds
Step: 13     | Time diff: 0.000001 seconds
Step: 13     | Time max_steps: 0.000002 seconds
Step: 13     | Time terminated: 0.000001 seconds
Step: 14     | Time action: 0.004689 seconds
Step: 14     | Time simulate: 0.004138 seconds
Step: 14     | Time obs: 0.000121 seconds
