이 메시지는 콘솔과 파일에 동시에 기록됩니다.
이 메시지도 로그에 기록됩니다.
torch.Size([1, 8, 256, 256])
Warning: PPO model not found at ./ppo_MlpPolicy_models/ppo_MlpPolicy_latest.zip. Starting training from scratch.
Starting training from scratch.
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
[40;93m[Episode Start] Currently using dataset file: ('/nfs/dataset/DIV2K/DIV2K_train_HR/DIV2K_train_HR/0753.png',), Episode count: 1[0m
[92mInitial PSNR: 24.478359[0m
Initial MSE: 0.003427[0m
Logging to ./ppo_MultiInputPolicy/PPO_28
Step: 1      | Time action: 1736856570.268359 seconds
Step: 1      | Time simulate: 0.002777 seconds
Step: 1      | Time obs: 0.000192 seconds
Step: 1      | Time reward: 0.000001 seconds
Step: 1      | Time rollback: 0.000012 seconds
Step: 2      | Time action: 0.004855 seconds
Step: 2      | Time simulate: 0.003813 seconds
Step: 2      | Time obs: 0.000105 seconds
Step: 2      | Time reward: 0.000001 seconds
Step: 2      | Time rollback: 0.000012 seconds
Step: 3      | Time action: 0.002700 seconds
Step: 3      | Time simulate: 0.002054 seconds
Step: 3      | Time obs: 0.000097 seconds
Step: 3      | Time reward: 0.000001 seconds
Step: 3      | Time print: 0.000000 seconds
Step: 3      | Time diff: 0.000001 seconds
Step: 3      | Time max_steps: 0.000000 seconds
Step: 3      | Time terminated: 0.000001 seconds
Step: 4      | Time action: 0.002685 seconds
Step: 4      | Time simulate: 0.001693 seconds
Step: 4      | Time obs: 0.000096 seconds
Step: 4      | Time reward: 0.000001 seconds
Step: 4      | Time rollback: 0.000012 seconds
Step: 5      | Time action: 0.002591 seconds
Step: 5      | Time simulate: 0.003228 seconds
Step: 5      | Time obs: 0.000097 seconds
Step: 5      | Time reward: 0.000000 seconds
Step: 5      | Time print: 0.000000 seconds
Step: 5      | Time diff: 0.000000 seconds
Step: 5      | Time max_steps: 0.000000 seconds
Step: 5      | Time terminated: 0.000001 seconds
Step: 6      | Time action: 0.002608 seconds
Step: 6      | Time simulate: 0.002111 seconds
Step: 6      | Time obs: 0.000102 seconds
Step: 6      | Time reward: 0.000001 seconds
Step: 6      | Time rollback: 0.000011 seconds
Step: 7      | Time action: 0.002647 seconds
Step: 7      | Time simulate: 0.001841 seconds
Step: 7      | Time obs: 0.000102 seconds
Step: 7      | Time reward: 0.000001 seconds
Step: 7      | Time rollback: 0.000013 seconds
Step: 8      | Time action: 0.002626 seconds
Step: 8      | Time simulate: 0.001794 seconds
Step: 8      | Time obs: 0.000097 seconds
Step: 8      | Time reward: 0.000000 seconds
Step: 8      | Time rollback: 0.000012 seconds
Step: 9      | Time action: 0.002620 seconds
Step: 9      | Time simulate: 0.001848 seconds
Step: 9      | Time obs: 0.000102 seconds
Step: 9      | Time reward: 0.000001 seconds
Step: 9      | Time rollback: 0.000012 seconds
Step: 10     | Time action: 0.002621 seconds
Step: 10     | Time simulate: 0.001799 seconds
Step: 10     | Time obs: 0.000100 seconds
Step: 10     | Time reward: 0.000001 seconds
Step: 10     | Time rollback: 0.000012 seconds
Step: 11     | Time action: 0.002617 seconds
Step: 11     | Time simulate: 0.001865 seconds
Step: 11     | Time obs: 0.000096 seconds
Step: 11     | Time reward: 0.000001 seconds
Step: 11     | Time rollback: 0.000012 seconds
Step: 12     | Time action: 0.003055 seconds
Step: 12     | Time simulate: 0.001813 seconds
Step: 12     | Time obs: 0.000101 seconds
Step: 12     | Time reward: 0.000001 seconds
Step: 12     | Time print: 0.000000 seconds
Step: 12     | Time diff: 0.000000 seconds
Step: 12     | Time max_steps: 0.000001 seconds
Step: 12     | Time terminated: 0.000001 seconds
Step: 13     | Time action: 0.002588 seconds
Step: 13     | Time simulate: 0.001797 seconds
Step: 13     | Time obs: 0.000101 seconds
Step: 13     | Time reward: 0.000000 seconds
Step: 13     | Time rollback: 0.000012 seconds
Step: 14     | Time action: 0.002581 seconds
Step: 14     | Time simulate: 0.001798 seconds
Step: 14     | Time obs: 0.000096 seconds
Step: 14     | Time reward: 0.000001 seconds
Step: 14     | Time rollback: 0.000012 seconds
Step: 15     | Time action: 0.002604 seconds
Step: 15     | Time simulate: 0.001796 seconds
Step: 15     | Time obs: 0.000094 seconds
Step: 15     | Time reward: 0.000001 seconds
Step: 15     | Time rollback: 0.000012 seconds
Step: 16     | Time action: 0.002603 seconds
Step: 16     | Time simulate: 0.001933 seconds
Step: 16     | Time obs: 0.000094 seconds
Step: 16     | Time reward: 0.000000 seconds
Step: 16     | Time print: 0.000000 seconds
Step: 16     | Time diff: 0.000001 seconds
Step: 16     | Time max_steps: 0.000000 seconds
Step: 16     | Time terminated: 0.000001 seconds
Step: 17     | Time action: 0.002613 seconds
Step: 17     | Time simulate: 0.001817 seconds
Step: 17     | Time obs: 0.000096 seconds
Step: 17     | Time reward: 0.000000 seconds
Step: 17     | Time rollback: 0.000011 seconds
Step: 18     | Time action: 0.002591 seconds
Step: 18     | Time simulate: 0.001789 seconds
Step: 18     | Time obs: 0.000101 seconds
Step: 18     | Time reward: 0.000001 seconds
Step: 18     | Time rollback: 0.000012 seconds
Step: 19     | Time action: 0.002613 seconds
Step: 19     | Time simulate: 0.001804 seconds
Step: 19     | Time obs: 0.000099 seconds
Step: 19     | Time reward: 0.000001 seconds
Step: 19     | Time rollback: 0.000012 seconds
Step: 20     | Time action: 0.002606 seconds
Step: 20     | Time simulate: 0.001791 seconds
Step: 20     | Time obs: 0.000094 seconds
Step: 20     | Time reward: 0.000001 seconds
Step: 20     | Time rollback: 0.000012 seconds
Step: 21     | Time action: 0.002608 seconds
Step: 21     | Time simulate: 0.001822 seconds
Step: 21     | Time obs: 0.000100 seconds
Step: 21     | Time reward: 0.000001 seconds
Step: 21     | Time rollback: 0.000012 seconds
Step: 22     | Time action: 0.002606 seconds
Step: 22     | Time simulate: 0.001847 seconds
